,date,price,news
0,Jan 3,143.98,"{""data"": [{""title"": ""More Bad News From Apple As Tim Cook Confirms Falling iPhone Sales "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/02/apple-iphone-xs-max-iphone-xr-iphone-se-sales-disaster-mistake/""}, {""title"": ""How Much Does Apple Stand To Lose As Netflix Stops In-App Subscriptions? "", ""url"": ""https://www.forbes.com/sites/greatspeculations/2019/01/02/how-much-does-apple-stand-to-lose-as-netflix-stops-in-app-subscriptions/""}, {""title"": ""Possible Support And Resistance Spots For Microsoft, Apple And Even Amazon "", ""url"": ""https://www.forbes.com/sites/johnnavin/2019/01/01/support-and-resistance-levels-for-microsoft-apple-and-even-amazon/""}]}"
1,Jan 4,144.53,"{""data"": [{""title"": ""More Bad News From Apple As Tim Cook Confirms Falling iPhone Sales "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/02/apple-iphone-xs-max-iphone-xr-iphone-se-sales-disaster-mistake/""}, {""title"": ""Which Company Has The Best Code Quality Between Google, Apple, Microsoft and Amazon? "", ""url"": ""https://www.forbes.com/sites/quora/2019/01/02/which-company-has-the-best-code-quality-between-google-apple-microsoft-and-amazon/""}, {""title"": ""Apple Throws China Under The Bus, And Opens A Pandora's Box "", ""url"": ""https://www.forbes.com/sites/kenrapoza/2019/01/03/apple-throws-china-under-the-bus-and-opens-a-pandoras-box/""}, {""title"": ""Warren Buffett, Down $4.3B In A Day, Was Right To Downplay Berkshire's Apple Gains "", ""url"": ""https://www.forbes.com/sites/antoinegara/2019/01/03/warren-buffett-down-43b-in-a-day-was-right-to-downplay-berkshires-apple-gains/""}, {""title"": ""How Much Does Apple Stand To Lose As Netflix Stops In-App Subscriptions? "", ""url"": ""https://www.forbes.com/sites/greatspeculations/2019/01/02/how-much-does-apple-stand-to-lose-as-netflix-stops-in-app-subscriptions/""}, {""title"": ""To Win Like Google, Apple Or Amazon - Make Your People Feel Safe "", ""url"": ""https://www.forbes.com/sites/duenablomstrom1/2019/01/03/to-win-like-google-apple-or-amazon-make-your-people-feel-safe/""}, {""title"": ""Is The Global Economy Half The Apple It Used To Be? "", ""url"": ""https://www.forbes.com/sites/dantedisparte/2019/01/03/is-the-global-economy-half-the-apple-it-used-to-be/""}, {""title"": ""Apple's Shock Earnings Warning Raises The Specter Of GE-Like Performance "", ""url"": ""https://www.forbes.com/sites/jimcollins/2019/01/03/apples-shock-earnings-warning-raises-the-specter-of-ge-like-performance/""}, {""title"": ""Apple Issues Profit Warning, Cuts Revenue Outlook By $9 Billion Amid Pricey iPhone Sales Drop "", ""url"": ""https://www.forbes.com/sites/jeanbaptiste/2019/01/03/apple-issues-profit-warning-cuts-revenue-outlook-by-17-billion-amid-pricey-iphone-sales-drop/""}, {""title"": ""We Are Cutting Our Price Estimate For Apple, But Still Remain Bullish On The Stock "", ""url"": ""https://www.forbes.com/sites/greatspeculations/2019/01/03/we-are-cutting-our-price-estimate-for-apple-but-still-remain-bullish-on-the-stock/""}]}"
2,Jan 7,148.7,"{""data"": [{""title"": ""Apple And Samsung Bury The Hatchet With Shock iTunes On TVs Deal "", ""url"": ""https://www.forbes.com/sites/johnarcher/2019/01/06/apple-and-samsung-bury-the-hatchet-with-shock-itunes-on-tv-deal/""}, {""title"": ""Why Apple Is Warren Buffett's Second Big Bad Tech Blunder "", ""url"": ""https://www.forbes.com/sites/petercohan/2019/01/06/why-apple-is-warren-buffetts-second-big-bad-tech-blunder/""}, {""title"": ""Will Trump Cave On China Trade Negotiations After Apple's Collapse And The Stock Market Slide? "", ""url"": ""https://www.forbes.com/sites/chuckjones/2019/01/05/will-trump-cave-on-china-trade-negotiations-after-apples-collapse-and-the-stock-market-slide/""}, {""title"": ""Apple Sees Market Capitalization Slump To $703Bn, 36% Off Peak "", ""url"": ""https://www.forbes.com/sites/rogeraitken/2019/01/06/apple-sees-market-capitalization-slump-to-703b-36-5-off-peak/""}]}"
3,Jan 8,149.56,"{""data"": [{""title"": ""First iPhone XI Design Leak Highlights Triple Rear Camera "", ""url"": ""https://www.forbes.com/sites/gordonkelly/2019/01/06/apple-iphone-xi-xs-max-xr-upgrade-cost-camera-iphone-8-plus-iphone-9/""}, {""title"": ""Apple's Message To China: It's Not Me, It's You "", ""url"": ""https://www.forbes.com/sites/franklavin/2019/01/07/apples-message-to-china-its-not-me-its-you/""}, {""title"": ""iPhone Problems Raise Questions Over Apple's Choices "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/07/apple-iphone-xs-max-iphone-xr-iphone-se-tim-cook-disaster-mistake-solution/""}, {""title"": ""Withings And Garmin Go After The Apple Watch At CES "", ""url"": ""https://www.forbes.com/sites/anthonykarcz/2019/01/07/withings-and-garmin-go-after-the-apple-watch-at-ces/""}, {""title"": ""Apple And Samsung Bury The Hatchet With Shock iTunes On TVs Deal "", ""url"": ""https://www.forbes.com/sites/johnarcher/2019/01/06/apple-and-samsung-bury-the-hatchet-with-shock-itunes-on-tv-deal/""}, {""title"": ""Apple Flaunts Privacy At CES - Why Other Companies Should Pay Attention "", ""url"": ""https://www.forbes.com/sites/blakemorgan/2019/01/07/apple-flaunts-privacy-at-ces-why-other-companies-should-pay-attention/""}, {""title"": ""These 14 Apple Apps Could Pose A Big Security Risk "", ""url"": ""https://www.forbes.com/sites/kateoflahertyuk/2019/01/07/these-14-apple-apps-could-pose-a-big-security-risk/""}, {""title"": ""Apple Sees Market Capitalization Slump To $703Bn, 36% Off Peak "", ""url"": ""https://www.forbes.com/sites/rogeraitken/2019/01/06/apple-sees-market-capitalization-slump-to-703b-36-5-off-peak/""}, {""title"": ""Apple's Shocking Market Decline In Perspective [Infographic] "", ""url"": ""https://www.forbes.com/sites/niallmccarthy/2019/01/07/apples-shocking-market-decline-in-perspective-infographic/""}, {""title"": ""In Apple Loss, How Big A Deal Is China, Really? "", ""url"": ""https://www.forbes.com/sites/kenrapoza/2019/01/07/in-apple-loss-how-big-a-deal-is-china-really/""}]}"
4,Jan 9,151.29,"{""data"": [{""title"": ""iPhone Problems Raise Questions Over Apple's Choices "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/07/apple-iphone-xs-max-iphone-xr-iphone-se-tim-cook-disaster-mistake-solution/""}, {""title"": ""Withings And Garmin Go After The Apple Watch At CES "", ""url"": ""https://www.forbes.com/sites/anthonykarcz/2019/01/07/withings-and-garmin-go-after-the-apple-watch-at-ces/""}, {""title"": ""Why You Should Buy Amazon And Sell Apple "", ""url"": ""https://www.forbes.com/sites/petercohan/2019/01/08/why-you-should-buy-amazon-and-sell-apple/""}, {""title"": ""Apple Flaunts Privacy At CES - Why Other Companies Should Pay Attention "", ""url"": ""https://www.forbes.com/sites/blakemorgan/2019/01/07/apple-flaunts-privacy-at-ces-why-other-companies-should-pay-attention/""}, {""title"": ""These 14 Apple Apps Could Pose A Big Security Risk "", ""url"": ""https://www.forbes.com/sites/kateoflahertyuk/2019/01/07/these-14-apple-apps-could-pose-a-big-security-risk/""}]}"
5,Jan 10,152.5,"{""data"": [{""title"": ""Apple CEO Tim Cook Applies Three Persuasive Communication Techniques To Answer Tough Questions "", ""url"": ""https://www.forbes.com/sites/carminegallo/2019/01/09/apple-ceo-tim-cook-applies-three-persuasive-communication-techniques-to-answer-tough-questions/""}, {""title"": ""Apple Supplier Announces Potentially Revolutionary iPhone Tech "", ""url"": ""https://www.forbes.com/sites/gordonkelly/2019/01/08/apple-iphone-xs-max-xr-upgrade-price-cost-face-id-touch-id-2019/""}, {""title"": ""Restaurant Week: Snag A Deal In The Big Apple Or Beyond "", ""url"": ""https://www.forbes.com/sites/irenelevine/2019/01/09/restaurant-week-snag-a-deal-in-the-big-apple-or-beyond/""}, {""title"": ""Disappointing iPhone XR Sales Force Apple's Latest Decision "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/09/apple-iphone-xr-sales-cut-drop-supplier-revenue-warning-services/""}]}"
6,Jan 11,152.88,"{""data"": [{""title"": ""Apple's Biggest Problem Isn't China "", ""url"": ""https://www.forbes.com/sites/panosmourdoukoutas/2019/01/10/apples-biggest-problem-isnt-china/""}, {""title"": ""Restaurant Week: Snag A Deal In The Big Apple Or Beyond "", ""url"": ""https://www.forbes.com/sites/irenelevine/2019/01/09/restaurant-week-snag-a-deal-in-the-big-apple-or-beyond/""}, {""title"": ""Looking To Rent In Manhattan This Winter? Bundle Up Your Wallet And Expectations "", ""url"": ""https://www.forbes.com/sites/heathersenison/2019/01/10/looking-to-rent-in-manhattan-this-winter-bundle-up-your-wallet-and-expectations/""}, {""title"": ""Spotify, Apple Music Helped CD Baby Artists Earn Over $100 Million In 2018 "", ""url"": ""https://www.forbes.com/sites/spencerdukoff/2019/01/09/spotify-apple-music-cd-baby-artists-100-million-2018/""}, {""title"": ""Disappointing iPhone XR Sales Force Apple's Latest Decision "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/09/apple-iphone-xr-sales-cut-drop-supplier-revenue-warning-services/""}]}"
7,Jan 14,150.85,"{""data"": [{""title"": ""Apple AirPods 2 May Be Imminent As AirPower Rumored To Be In Production At Last "", ""url"": ""https://www.forbes.com/sites/davidphelan/2019/01/12/apple-airpods-2-may-be-imminent-as-apple-airpower-rumored-to-be-starting-production-at-last/""}]}"
8,Jan 15,150.27,"{""data"": [{""title"": ""Apple's 2019 iPhones May Pack WiFi 6 "", ""url"": ""https://www.forbes.com/sites/gordonkelly/2019/01/13/apple-iphone-11-upgrade-update-release-date-price-cost-xr-xs-max/""}, {""title"": ""Apple AirPods 2 Will Be The Most Revolutionary Ear Accessories In History "", ""url"": ""https://www.forbes.com/sites/curtissilver/2019/01/14/apple-airpods-2-will-be-the-most-revolutionary-ear-accessories-in-history/""}, {""title"": ""3 Signs That Apple Has Lost Its Innovation Mojo "", ""url"": ""https://www.forbes.com/sites/petercohan/2019/01/14/3-signs-that-apple-has-lost-its-innovation-mojo/""}, {""title"": ""Is Apple's Problem In China The Economy Or Simply A Loss Of Market Share? "", ""url"": ""https://www.forbes.com/sites/jackperkowski/2019/01/14/is-apples-problem-in-china-the-economy-or-simply-a-loss-of-market-share/""}]}"
9,Jan 16,153.08,"{""data"": [{""title"": ""Xiaomi Mi Mix 3 Global Edition Review: OnePlus Has A New Challenger In Europe "", ""url"": ""https://www.forbes.com/sites/bensin/2019/01/14/xiaomi-mi-mix-3-review/""}, {""title"": ""2019 iPhone Hints Suggest A Lack Of Innovation "", ""url"": ""https://www.forbes.com/sites/ewanspence/2019/01/14/apple-iphone-new-leak-rumor-innovation-camera-boring-failure/""}, {""title"": ""United's Apple Disclosure Reminds Us About The Value Of Offline Data "", ""url"": ""https://www.forbes.com/sites/kalevleetaru/2019/01/15/uniteds-apple-disclosure-reminds-us-about-the-value-of-offline-data/""}]}"
