date,price
2019/1/2,154.89
2019/1/3,143.98
2019/1/4,144.53
2019/1/7,148.7
2019/1/8,149.56
2019/1/9,151.29
2019/1/10,152.5
2019/1/11,152.88
2019/1/14,150.85
2019/1/15,150.27
2019/1/16,153.08
2019/1/17,154.2
2019/1/18,157.5
2019/1/22,156.41
2019/1/23,154.15
2019/1/24,154.11
2019/1/25,155.48
2019/1/28,155.79
2019/1/29,156.25
2019/1/30,163.25
2019/1/31,166.11
2019/2/1,166.96
2019/2/4,167.41
2019/2/5,172.86
2019/2/6,174.65
2019/2/7,172.4
2019/2/8,168.99
2019/2/11,171.05
2019/2/12,170.1
2019/2/13,171.39
2019/2/14,169.71
2019/2/15,171.25
2019/2/19,169.71
2019/2/20,171.19
2019/2/21,171.8
2019/2/22,171.58
2019/2/25,174.16
2019/2/26,173.71
2019/2/27,173.21
2019/2/28,174.32
2019/3/1,174.28
2019/3/4,175.69
2019/3/5,175.94
2019/3/6,174.67
2019/3/7,173.87
2019/3/8,170.32
2019/3/11,175.49
2019/3/12,180
2019/3/13,182.25
2019/3/14,183.9
2019/3/15,184.85
2019/3/18,185.8
2019/3/19,188.35
2019/3/20,186.23
2019/3/21,190.02
2019/3/22,195.34
2019/3/25,191.51
2019/3/26,191.66
2019/3/27,188.75
2019/3/28,188.95
2019/3/29,189.83
2019/4/1,191.64
2019/4/2,191.09
2019/4/3,193.25
2019/4/4,194.79
2019/4/5,196.45
2019/4/8,196.42
2019/4/9,200.32
2019/4/10,198.68
2019/4/11,200.85
2019/4/12,199.2
2019/4/15,198.58
2019/4/16,199.46
2019/4/17,199.54
2019/4/18,203.12
2019/4/22,202.83
2019/4/23,204.43
2019/4/24,207.36
2019/4/25,206.83
2019/4/26,204.9
2019/4/29,204.4
2019/4/30,203.06
2019/5/1,209.88
2019/5/2,209.84
2019/5/3,210.89
2019/5/6,204.29
2019/5/7,205.88
2019/5/8,201.9
2019/5/9,200.4
2019/5/10,197.42
2019/5/13,187.71
2019/5/14,186.41
2019/5/15,186.27
2019/5/16,189.91
2019/5/17,186.93
2019/5/20,183.52
2019/5/21,185.22
2019/5/22,184.66
2019/5/23,179.8
2019/5/24,180.2
2019/5/28,178.92
2019/5/29,176.42
2019/5/30,177.95
2019/5/31,176.23
2019/6/3,175.6
2019/6/4,175.44
2019/6/5,184.28
2019/6/6,183.08
2019/6/7,186.51
2019/6/10,191.81
2019/6/11,194.86
2019/6/12,193.95
2019/6/13,194.7
2019/6/14,191.55
2019/6/17,192.9
2019/6/18,196.05
2019/6/19,199.68
2019/6/20,200.37
2019/6/21,198.8
2019/6/24,198.54
2019/6/25,198.43
2019/6/26,197.77
2019/6/27,200.29
2019/6/28,198.68
2019/7/1,203.17
2019/7/2,201.41
2019/7/3,203.28
2019/7/5,203.35
2019/7/8,200.81
2019/7/9,199.2
2019/7/10,201.85
2019/7/11,203.31
2019/7/12,202.45
2019/7/15,204.09
2019/7/16,204.59
2019/7/17,204.05
2019/7/18,204
2019/7/19,205.79
2019/7/22,203.65
2019/7/23,208.46
2019/7/24,207.67
2019/7/25,208.89
2019/7/26,207.48
2019/7/29,208.46
2019/7/30,208.76
2019/7/31,216.42
2019/8/1,213.9
2019/8/2,205.53
2019/8/5,197.99
2019/8/6,196.31
2019/8/7,195.41
2019/8/8,200.2
2019/8/9,201.3
2019/8/12,199.62
2019/8/13,201.02
2019/8/14,203.16
2019/8/15,203.46
2019/8/16,204.28
2019/8/19,210.62
2019/8/20,210.88
2019/8/21,212.99
2019/8/22,213.19
2019/8/23,209.43
2019/8/26,205.86
2019/8/27,207.86
2019/8/28,204.1
2019/8/29,208.5
2019/8/30,210.16
2019/9/3,206.43
2019/9/4,208.39
2019/9/5,212
2019/9/6,214.05
2019/9/9,214.84
2019/9/10,213.86
2019/9/11,218.07
2019/9/12,224.8
2019/9/13,220
2019/9/16,217.73
2019/9/17,219.96
2019/9/18,221.06
2019/9/19,222.01
2019/9/20,221.38
2019/9/23,218.95
2019/9/24,221.03
2019/9/25,218.55
2019/9/26,220
2019/9/27,220.54
2019/9/30,220.9
2019/10/1,225.07
2019/10/2,223.06
2019/10/3,218.43
2019/10/4,225.64
2019/10/7,226.27
2019/10/8,225.82
2019/10/9,227.03
2019/10/10,227.93
2019/10/11,232.95
2019/10/14,234.9
2019/10/15,236.39
2019/10/16,233.37
2019/10/17,235.09
2019/10/18,234.59
2019/10/21,237.52
2019/10/22,241.16
2019/10/23,242.1
2019/10/24,244.51
2019/10/25,243.16
2019/10/28,247.42
2019/10/29,248.97
2019/10/30,244.76
2019/10/31,247.24
2019/11/1,249.54
2019/11/4,257.33
2019/11/5,257.05
2019/11/6,256.77
2019/11/7,258.74
2019/11/8,258.69
2019/11/11,258.3
2019/11/12,261.55
2019/11/13,261.13
2019/11/14,263.75
2019/11/15,263.68
2019/11/18,265.8
2019/11/19,267.9
2019/11/20,265.54
2019/11/21,263.69
2019/11/22,262.59
2019/11/25,262.71
2019/11/26,266.94
2019/11/27,265.58
2019/11/29,266.6
2019/12/2,267.27
2019/12/3,258.31
2019/12/4,261.07
2019/12/5,263.79
2019/12/6,267.48
2019/12/9,270
2019/12/10,268.6
2019/12/11,268.81
2019/12/12,267.78
2019/12/13,271.46
2019/12/16,277
2019/12/17,279.57
2019/12/18,279.8
2019/12/19,279.5
2019/12/20,282.23
2019/12/23,280.53
2019/12/24,284.69
2019/12/26,284.82
2019/12/27,291.12
2019/12/30,289.46
2019/12/31,289.93
